Timestamp,Open,High,Low,Close,Volume
2025-12-12 07:20:00.000,180.69,180.95,180.69,180.95,6965
2025-12-12 07:25:00.000,180.97,181.119,180.95,181.05,7465
2025-12-12 07:30:00.000,181.0,181.04,180.93,180.93,1209
2025-12-12 07:35:00.000,180.9,180.91,180.72,180.749,4353
2025-12-12 07:40:00.000,180.77,180.84,180.7,180.84,3039
2025-12-12 07:45:00.000,180.83,180.96,180.81,180.96,3007
2025-12-12 07:50:00.000,180.98,183.16,180.85,182.94,110915
2025-12-12 07:55:00.000,182.65,183.19,182.01,182.45,113000
2025-12-12 08:00:00.000,179.67,183.23,179.0026,182.38,628996
2025-12-12 08:05:00.000,182.39,182.68,182.2,182.66,93886
2025-12-12 08:10:00.000,182.67,182.89,182.56,182.87,116386
2025-12-12 08:15:00.000,182.9,182.96,182.4,182.41,84473
2025-12-12 08:20:00.000,182.44,182.67,182.3999,182.6501,48741
2025-12-12 08:25:00.000,182.65,182.73,182.3992,182.4009,46986
2025-12-12 08:30:00.000,182.4001,182.45,182.16,182.24,68435
2025-12-12 08:35:00.000,182.25,182.25,181.4001,181.5699,138334
2025-12-12 08:40:00.000,181.5436,181.78,181.5,181.68,67005
2025-12-12 08:45:00.000,181.6801,181.84,181.55,181.7599,57302
2025-12-12 08:50:00.000,181.75,181.82,181.7,181.82,28050
2025-12-12 08:55:00.000,181.8162,182.1,181.8162,181.9598,67158
2025-12-12 09:00:00.000,181.9599,181.98,181.58,181.66,44891
2025-12-12 09:05:00.000,181.69,181.98,181.69,181.8699,39125
2025-12-12 09:10:00.000,181.8501,181.91,181.43,181.54,62286
2025-12-12 09:15:00.000,181.5495,181.85,181.5352,181.8499,67073
2025-12-12 09:20:00.000,181.8403,181.88,181.18,181.2,126896
2025-12-12 09:25:00.000,181.21,181.7,180.96,181.11,113902
2025-12-12 09:30:00.000,181.11,182.51,180.99,181.772,4421398
2025-12-12 09:35:00.000,181.78,182.82,181.68,182.54,2278329
2025-12-12 09:40:00.000,182.5372,182.6375,181.51,181.51,1840503
2025-12-12 09:45:00.000,181.505,181.68,180.38,180.435,1928111
2025-12-12 09:50:00.000,180.44,181.485,180.41,181.2465,1428540
2025-12-12 09:55:00.000,181.24,181.465,180.86,181.145,1192481
2025-12-12 10:00:00.000,181.13,181.14,179.8355,179.945,1898199
2025-12-12 10:05:00.000,179.95,180.14,179.38,179.7,1685342
2025-12-12 10:10:00.000,179.63,180.4803,179.63,180.2142,1707969
2025-12-12 10:15:00.000,180.22,180.635,179.955,180.42,1305492
2025-12-12 10:20:00.000,180.4,180.475,179.52,179.73,1161798
2025-12-12 10:25:00.000,179.73,180.03,179.32,179.54,1354858
2025-12-12 10:30:00.000,179.53,179.85,179.17,179.455,1572322
2025-12-12 10:35:00.000,179.465,179.595,179.05,179.445,996705
